Count,Hate Speech,Offensive Language,Neither Count,Class,Tweet
3,1,2,0,1,Am sorry I can't stand stand some black females especially the full breaded Africans bitches being have std and shit I prefer white girls
4,1,3,0,1,Am zoneing they say I'm possessed it's a omen I keep 300 like the Romans with 300 bitches with the trojans I been a menace for the longest.
3,0,3,0,1,"Amanda Bynes is crazy, idc what else y'all wanna call it but da bitch been crazy."
3,0,3,0,1,Amanda is a bitch omg I would beat her ass lol
3,0,0,3,2,Amazing. You know what they say about birds of a feather http://t.co/mefmPB3aW5
3,0,3,0,1,"Amber Rose is one of those bad bitches who ""only get along with dudes"""
3,0,3,0,1,Amber wants a million... Wiz just like... Ok bitch I spend that on 2 cars..
9,0,9,0,1,"Amennn!!!!! ""@WomenLoveBrickz: If your girlfriend doesn't like that bitch, you don't talk to that bitch"""
3,2,1,0,0,America is white trash and so are all Americans.
3,0,1,2,2,American culture is stuck to the side of the toilet. Graffiti writers in Europe can create better art without any lowlife trash sex jokes.
3,0,3,0,1,Amina ass... Peter you just fucking the bitch I don't like her voice
3,0,1,2,2,Amo hangs http://t.co/h8UQDrjeCb
6,2,3,1,1,An awesome Friday. Not a day for pre-weekend news-dumps anymore. Another weekend to celebrate progress my fellow queer folk!
3,0,3,0,1,An if u aint a hoe get up out my trap hoooouusssee!!!!
3,0,3,0,1,"Anacortes bucks got racks like a black bitch, dwammm"
3,0,3,0,1,And I can't be known for fucking wit a trash bitch.
6,1,5,0,1,"And I lick it after you clean it , eat pussy like a dyke but I fuck like a demon &#128545;&#128166;"
3,2,1,0,0,And I wanna say something SOOOOOO bad to these two cunts on Twitter eh..
6,0,6,0,1,And I was like yeah bitch
3,2,1,0,0,And I'm definitely top 3 at makin beats in the city but y'all niggers love your trap beats so y'all probably won't admit that
3,0,3,0,1,And I'm out bout $50 .. These hoes be pimping me man &#128514;
3,0,3,0,1,And I'm steady tellin dis bitch gtfo my face
3,0,3,0,1,And I've had enough. Unfollowing dat ass bitch
6,0,5,1,1,And a hoe gon be a hoe regardless
3,0,3,0,1,And bitch I ain't bout to debate with Ya funky ass either.
6,0,6,0,1,And by YALL I mean.... Whoever running back telling tunchi wtf I'm doing that's not my nigga dog niggas nd bitches &#128175;
6,0,5,1,1,And da hoes!! RT @Pr3ttyN33: I kno u hear vodka n the background &#127908;
3,1,2,0,1,And dis nicca still rapping
3,0,3,0,1,And dis shit is for the birds 2 http://t.co/o1pKDhYAX9
6,1,5,0,1,And don't come to my mf house honking ur damn horn. Get tf out the car &amp; ring my bell bitch.
3,0,3,0,1,"And even if the sky come fallin, bitch ima still be high. I got faith in my weed man"
6,0,6,0,1,"And gabby was steady walking off laughing, I'm like bitch really &#128548; , if she ever fall around me I'ma get in my car and leave her there"
3,0,3,0,1,And get my self a bad bitch thats loyal and one hunnid
3,0,3,0,1,And girl I've been thinkin of ways thinkin of new ways to beat that pussy down .
3,0,3,0,1,"And girl that pussy ain't shit to me, baby girl roll up and get high"
3,0,3,0,1,And ha bitch break down my weed sometimes
3,0,3,0,1,"And here standing in the red corner @John_Mayer_69 weighing 145lbs the pussy destroying champion of the world, Adam nobodyknowshisrace smith"
3,0,3,0,1,"And honestly I'm a social hoe. I'll talk to any and everybody. Nowhere in there did I said fuck, suck, and trap."
3,1,2,0,1,And i aint neva gave a fucc about a bitch boy !
3,0,3,0,1,"And i didn't wanna come off as a bitch, so I took another hit, now I think I'm feeling to high"
3,0,3,0,1,"And if u aint a ho, GET UP OUT MY TRAP HOUUUSE!"
3,0,3,0,1,And if yu ever need a shoulder to cry on I won't be there cus I'm on my fuck that bitch shit
3,0,3,0,1,And ima dream about 4 fat bitches stuck in a mini van on a hot summer day
3,0,3,0,1,And it's always the black bitches that's constantly late AF for no reason. Couldn't refuse the ladies in free til 12 &amp; $1 shots
6,0,1,5,2,And it's gotta be some ghetto fool :/
3,0,3,0,1,And just like me that bitch loaded.
3,0,3,0,1,And little bitch ass @_TriggaPlease_
3,0,3,0,1,And mad hoes you can ask Beavis I get nothing butthead
3,0,3,0,1,And my bitch gon' blast and she got the ass like... http://t.co/yzJVcu77nF
3,0,3,0,1,And my mom was really getting me a car smh hoe f u for dat
6,0,6,0,1,And niccas are 38 HOT if they paid 20 bucks for that Pay-Per-View......
3,0,0,3,2,And now Jihadis bragging about a massive bombing in Sadr city in Baghdad. #Iraq #onslaught
3,1,2,0,1,And now lookin ass niggas and lookin ass bitches will be the terms of 2014. Will be overused &amp; abused in every fucking way
3,0,1,2,2,And of course some rascally #teabagger on the radio is blaming the 19 dead AZ firefighters on #biggovernment. Oy vey. #tcot #p2 #teaparty
3,1,2,0,1,And remember---always be the person you're born to be. You don't have to be queer to take something from that message. #NationalComingOutDay
3,0,3,0,1,And since im gino marley my bitch just flew from Japan
3,0,3,0,1,And someone from my class is literally sitting across from me on the bus so I can't even call dad and bitch
3,2,1,0,0,And the Jew @Deuterostomes favorited my tweet though. Lol. Don't have anymore time for this trash.
3,0,3,0,1,And them niggas pussies...cameltoes &#128514;
3,1,2,0,1,And these hoes ain't as good as they look..I need to take my own advice doee cause If that pusxy good then I'm good &#128569;
3,0,3,0,1,And vice versa RT @_Kimchanel_: 9/10 he has hoes
3,0,3,0,1,And weres bitch boy ?
3,1,2,0,1,And when I say DOH DOH DOH DOH bitch that be Kdot
3,0,3,0,1,"And when bitches be like ""me and him against the world!"" bitch don't nobody even know y'all together -_- nobody hating."
3,0,0,3,2,And where do you think unsold items from thrift stores go? The garbage. Think of all the great games that are in trash dumps as we speak :(
3,0,3,0,1,"And you a bitch.. Even when you say you love me, you a bitch. I pray you crash like Caroline into a ditch."
3,1,2,0,1,"And you adopted bitch? I don't give a fuck what kind of ""Mental illness"" they claimin imma kill ya"
6,0,6,0,1,And you kno we the opposite of down bitch we up http://t.co/qkFYwnFZqu
3,0,3,0,1,"And you&#8217;re a bitch RT @FuckingPatBro: @Thotcho you&#8217;re a little fucking worm you know that,"
3,0,3,0,1,Angel stop rting that fugly bitch
3,0,0,3,2,Anglo-Saxon Mike Oz
3,2,1,0,0,Ankles &#128128;&#128514;&#8220;@Saina_faal: &#8220;@martian_Mulah: Hood bitches with long weave is the worst thing ever&#8221; weave that be touching their ashy ankles &#128567;&#8221;
3,0,3,0,1,Annie.. You crazy hoe &#128514;&#128514;&#128514;
3,1,2,0,1,Annnnd you're a dyke. &#9995;
3,0,0,3,2,Annoying yelling bint next door has locked herself out.
3,0,3,0,1,Another bad bitch fuck her for a hour another cigarette another nut another shower
3,0,3,0,1,"Another high point was a Hungarian calling me ""cheat fuck"" and ""cheat pussy"" for doing well."
3,1,2,0,1,Another long mornin smh...Thank God a nicca out here to see it tho real shit
