Count,Hate Speech,Offensive Language,Neither Count,Class,Tweet,preprocessed_tweet,final_text
3,1,2,0,1,am sorry i cant stand stand some black females especially the full breaded africans bitches being have std and shit i prefer white girls,"['sorry', 'cant', 'stand', 'stand', 'black', 'female', 'especially', 'full', 'breaded', 'african', 'bitch', 'std', 'shit', 'prefer', 'white', 'girl']",sorry cant stand stand black female especially full breaded african bitch std shit prefer white girl
4,1,3,0,1,am zoneing they say im possessed its a omen i keep  like the romans with  bitches with the trojans i been a menace for the longest,"['zoneing', 'say', 'im', 'possessed', 'omen', 'keep', 'like', 'roman', 'bitch', 'trojan', 'menace', 'longest']",zoneing say im possessed omen keep like roman bitch trojan menace longest
3,0,3,0,1,amanda bynes is crazy idc what else yall wanna call it but da bitch been crazy,"['amanda', 'bynes', 'crazy', 'idc', 'else', 'yall', 'wan', 'na', 'call', 'da', 'bitch', 'crazy']",amanda bynes crazy idc else yall wan na call da bitch crazy
3,0,3,0,1,amanda is a bitch omg i would beat her ass lol,"['amanda', 'bitch', 'omg', 'would', 'beat', 'as', 'lol']",amanda bitch omg would beat as lol
3,0,0,3,2,amazing you know what they say about birds of a feather httptcomefmpbaw,"['amazing', 'know', 'say', 'bird', 'feather', 'httptcomefmpbaw']",amazing know say bird feather httptcomefmpbaw
3,0,3,0,1,amber rose is one of those bad bitches who only get along with dudes,"['amber', 'rose', 'one', 'bad', 'bitch', 'get', 'along', 'dude']",amber rose one bad bitch get along dude
3,0,3,0,1,amber wants a million wiz just like ok bitch i spend that on  cars,"['amber', 'want', 'million', 'wiz', 'like', 'ok', 'bitch', 'spend', 'car']",amber want million wiz like ok bitch spend car
9,0,9,0,1,amennn womenlovebrickz if your girlfriend doesnt like that bitch you dont talk to that bitch,"['amennn', 'womenlovebrickz', 'girlfriend', 'doesnt', 'like', 'bitch', 'dont', 'talk', 'bitch']",amennn womenlovebrickz girlfriend doesnt like bitch dont talk bitch
3,2,1,0,0,america is white trash and so are all americans,"['america', 'white', 'trash', 'american']",america white trash american
3,0,1,2,2,american culture is stuck to the side of the toilet graffiti writers in europe can create better art without any lowlife trash sex jokes,"['american', 'culture', 'stuck', 'side', 'toilet', 'graffiti', 'writer', 'europe', 'create', 'better', 'art', 'without', 'lowlife', 'trash', 'sex', 'joke']",american culture stuck side toilet graffiti writer europe create better art without lowlife trash sex joke
3,0,3,0,1,amina ass peter you just fucking the bitch i dont like her voice,"['amina', 'as', 'peter', 'fucking', 'bitch', 'dont', 'like', 'voice']",amina as peter fucking bitch dont like voice
3,0,1,2,2,amo hangs httptcohuqdrjecb,"['amo', 'hang', 'httptcohuqdrjecb']",amo hang httptcohuqdrjecb
6,2,3,1,1,an awesome friday not a day for preweekend newsdumps anymore another weekend to celebrate progress my fellow queer folk,"['awesome', 'friday', 'day', 'preweekend', 'newsdumps', 'anymore', 'another', 'weekend', 'celebrate', 'progress', 'fellow', 'queer', 'folk']",awesome friday day preweekend newsdumps anymore another weekend celebrate progress fellow queer folk
3,0,3,0,1,an if u aint a hoe get up out my trap hoooouusssee,"['u', 'aint', 'hoe', 'get', 'trap', 'hoooouusssee']",u aint hoe get trap hoooouusssee
3,0,3,0,1,anacortes bucks got racks like a black bitch dwammm,"['anacortes', 'buck', 'got', 'rack', 'like', 'black', 'bitch', 'dwammm']",anacortes buck got rack like black bitch dwammm
3,0,3,0,1,and i cant be known for fucking wit a trash bitch,"['cant', 'known', 'fucking', 'wit', 'trash', 'bitch']",cant known fucking wit trash bitch
6,1,5,0,1,and i lick it after you clean it  eat pussy like a dyke but i fuck like a demon,"['lick', 'clean', 'eat', 'pussy', 'like', 'dyke', 'fuck', 'like', 'demon']",lick clean eat pussy like dyke fuck like demon
3,2,1,0,0,and i wanna say something soooooo bad to these two cunts on twitter eh,"['wan', 'na', 'say', 'something', 'soooooo', 'bad', 'two', 'cunt', 'twitter', 'eh']",wan na say something soooooo bad two cunt twitter eh
6,0,6,0,1,and i was like yeah bitch,"['like', 'yeah', 'bitch']",like yeah bitch
3,2,1,0,0,and im definitely top  at makin beats in the city but yall niggers love your trap beats so yall probably wont admit that,"['im', 'definitely', 'top', 'makin', 'beat', 'city', 'yall', 'nigger', 'love', 'trap', 'beat', 'yall', 'probably', 'wont', 'admit']",im definitely top makin beat city yall nigger love trap beat yall probably wont admit
3,0,3,0,1,and im out bout   these hoes be pimping me man,"['im', 'bout', 'hoe', 'pimping', 'man']",im bout hoe pimping man
3,0,3,0,1,and im steady tellin dis bitch gtfo my face,"['im', 'steady', 'tellin', 'dis', 'bitch', 'gtfo', 'face']",im steady tellin dis bitch gtfo face
3,0,3,0,1,and ive had enough unfollowing dat ass bitch,"['ive', 'enough', 'unfollowing', 'dat', 'as', 'bitch']",ive enough unfollowing dat as bitch
6,0,5,1,1,and a hoe gon be a hoe regardless,"['hoe', 'gon', 'hoe', 'regardless']",hoe gon hoe regardless
3,0,3,0,1,and bitch i aint bout to debate with ya funky ass either,"['bitch', 'aint', 'bout', 'debate', 'ya', 'funky', 'as', 'either']",bitch aint bout debate ya funky as either
6,0,6,0,1,and by yall i mean whoever running back telling tunchi wtf im doing thats not my nigga dog niggas nd bitches,"['yall', 'mean', 'whoever', 'running', 'back', 'telling', 'tunchi', 'wtf', 'im', 'thats', 'nigga', 'dog', 'nigga', 'nd', 'bitch']",yall mean whoever running back telling tunchi wtf im thats nigga dog nigga nd bitch
6,0,5,1,1,and da hoes rt prttyn i kno u hear vodka n the background,"['da', 'hoe', 'rt', 'prttyn', 'kno', 'u', 'hear', 'vodka', 'n', 'background']",da hoe rt prttyn kno u hear vodka n background
3,1,2,0,1,and dis nicca still rapping,"['dis', 'nicca', 'still', 'rapping']",dis nicca still rapping
3,0,3,0,1,and dis shit is for the birds  httptcoopkdhyax,"['dis', 'shit', 'bird', 'httptcoopkdhyax']",dis shit bird httptcoopkdhyax
6,1,5,0,1,and dont come to my mf house honking ur damn horn get tf out the car amp ring my bell bitch,"['dont', 'come', 'mf', 'house', 'honking', 'ur', 'damn', 'horn', 'get', 'tf', 'car', 'amp', 'ring', 'bell', 'bitch']",dont come mf house honking ur damn horn get tf car amp ring bell bitch
3,0,3,0,1,and even if the sky come fallin bitch ima still be high i got faith in my weed man,"['even', 'sky', 'come', 'fallin', 'bitch', 'ima', 'still', 'high', 'got', 'faith', 'weed', 'man']",even sky come fallin bitch ima still high got faith weed man
6,0,6,0,1,and gabby was steady walking off laughing im like bitch really   if she ever fall around me ima get in my car and leave her there,"['gabby', 'steady', 'walking', 'laughing', 'im', 'like', 'bitch', 'really', 'ever', 'fall', 'around', 'ima', 'get', 'car', 'leave']",gabby steady walking laughing im like bitch really ever fall around ima get car leave
3,0,3,0,1,and get my self a bad bitch thats loyal and one hunnid,"['get', 'self', 'bad', 'bitch', 'thats', 'loyal', 'one', 'hunnid']",get self bad bitch thats loyal one hunnid
3,0,3,0,1,and girl ive been thinkin of ways thinkin of new ways to beat that pussy down,"['girl', 'ive', 'thinkin', 'way', 'thinkin', 'new', 'way', 'beat', 'pussy']",girl ive thinkin way thinkin new way beat pussy
